student_id,gender,attendance,study_hours,test1,test2,test3,parent_education_level
220,male,98,3.1,69,73,76,secondary
221,male,66,4.7,64,74,80,none
222,male,98,3.5,66,59,59,graduate
223,male,51,2.9,47,53,55,primary
224,female,51,1.9,67,63,59,graduate
225,male,77,2.7,47,37,37,postgraduate
226,male,72,3.1,88,86,80,primary
227,female,86,3.6,64,57,48,postgraduate
228,female,81,4.2,61,55,58,postgraduate
229,male,82,1.9,77,76,75,none
230,male,50,1.0,47,55,54,graduate
231,male,68,3.0,92,95,94,graduate
232,female,51,2.4,51,53,51,primary
233,male,93,1.5,39,34,28,none
234,male,75,1.9,91,84,83,primary
235,male,81,1.5,71,77,77,none
236,female,55,2.7,82,74,67,none
237,male,81,4.5,40,59,64,primary
238,female,53,2.6,73,71,71,none
239,female,60,2.2,39,36,26,primary
240,male,66,3.6,71,58,53,graduate
241,male,87,2.8,88,84,81,primary
242,male,73,3.1,59,63,69,primary
243,male,54,4.5,71,80,86,secondary
244,female,83,0.7,35,38,41,postgraduate
245,female,55,1.1,72,70,73,none
246,male,71,2.2,49,54,53,none
247,female,60,3.9,46,49,57,none
248,male,97,2.3,63,69,74,none
249,female,65,3.3,69,54,47,primary
250,female,82,1.2,70,61,52,postgraduate
251,male,58,3.3,67,63,63,secondary
252,male,55,2.6,58,44,38,postgraduate
253,male,65,1.8,39,44,43,secondary
254,female,78,3.8,84,84,82,graduate
255,male,52,3.3,92,86,84,primary
256,female,69,2.6,44,40,38,primary
257,male,85,2.4,32,32,34,primary
258,male,68,1.0,47,45,47,secondary
259,male,75,2.1,70,68,66,secondary
260,female,52,1.1,77,81,84,secondary
261,female,68,2.6,94,95,91,none
262,female,69,2.9,76,72,70,postgraduate
263,female,81,3.1,48,50,58,primary
264,male,56,2.6,79,78,76,postgraduate
265,female,90,4.1,73,67,65,none
266,male,82,1.1,85,83,83,graduate
267,male,89,2.5,76,70,65,secondary
268,male,88,3.8,37,36,36,graduate
269,female,67,3.1,75,72,75,graduate
270,female,89,1.9,72,73,76,graduate
271,male,50,3.2,83,86,88,primary
272,female,60,2.0,32,21,13,graduate
273,female,77,2.6,42,35,33,graduate
274,female,74,3.2,79,76,70,secondary
275,male,99,1.0,57,67,71,primary
276,male,72,3.5,71,74,81,primary
277,female,80,3.3,49,54,55,postgraduate
278,male,79,0.7,66,69,76,none
279,male,91,0.5,54,54,53,postgraduate
280,female,84,0.5,32,34,37,secondary
281,male,56,2.6,42,43,47,graduate
282,female,65,4.3,90,97,99,none
283,male,75,3.3,56,51,45,postgraduate
284,male,97,3.6,43,40,41,none
285,male,98,3.4,82,76,75,primary
286,male,51,2.9,36,46,46,graduate
287,female,50,0.5,67,60,57,primary
288,female,97,3.7,68,77,84,none
289,male,61,1.9,38,31,27,secondary
290,male,54,1.4,85,98,100,primary
291,male,86,2.1,81,77,77,postgraduate
292,female,81,3.3,56,57,54,primary
293,male,58,2.5,66,55,52,postgraduate
294,male,90,2.6,71,81,81,graduate
295,male,84,2.5,64,72,80,postgraduate
296,female,68,3.9,82,71,67,graduate
297,male,97,0.8,94,90,85,secondary
298,female,65,2.5,93,100,100,secondary
299,male,52,3.1,64,66,67,graduate
300,male,69,2.7,34,41,38,postgraduate
301,female,73,3.9,70,69,66,graduate
302,female,82,2.7,67,65,62,none
303,male,73,2.1,33,33,36,primary
304,female,60,1.8,41,53,58,primary
305,male,98,0.9,83,74,68,secondary
306,female,57,1.9,44,43,40,primary
307,female,85,1.3,47,50,54,postgraduate
308,male,87,2.4,68,64,53,none
309,female,89,0.6,62,54,47,primary
310,male,69,2.6,93,85,81,none
311,male,84,2.1,51,43,40,graduate
312,male,97,3.7,77,71,72,postgraduate
313,male,74,3.1,62,64,63,postgraduate
314,female,84,3.7,63,64,68,postgraduate
315,female,74,2.6,80,74,70,graduate
316,male,78,3.4,68,59,54,secondary
317,male,67,2.6,77,74,72,none
318,male,95,1.6,36,23,14,graduate
319,female,67,2.0,85,84,85,postgraduate
320,female,51,3.1,81,74,65,none
321,male,84,3.0,89,91,92,graduate
322,female,65,2.7,83,78,70,secondary
323,female,90,2.6,61,60,59,secondary
324,female,85,2.7,78,87,94,postgraduate
325,male,82,1.7,62,52,47,secondary
326,male,53,2.7,38,35,35,postgraduate
327,male,82,2.2,93,94,87,none
328,female,63,2.3,38,40,42,primary
329,female,70,0.6,71,69,66,secondary
330,male,97,2.9,70,76,81,none
331,male,69,1.1,59,63,65,graduate
332,female,57,1.2,48,51,55,postgraduate
333,female,56,2.9,64,61,56,postgraduate
334,male,52,0.8,84,75,76,none
335,male,66,3.3,57,69,75,secondary
336,female,82,1.7,89,100,100,graduate
337,female,97,3.1,78,68,66,secondary
338,male,61,1.2,61,62,57,secondary
339,female,100,2.0,68,58,53,primary
340,female,71,3.3,37,46,50,secondary
341,male,71,2.3,54,54,56,primary
342,female,95,1.6,90,95,96,postgraduate
343,female,79,3.0,67,76,84,graduate
344,male,87,0.5,76,73,70,graduate
345,male,87,3.6,52,49,48,graduate
346,female,94,1.4,50,39,36,postgraduate
347,female,100,4.0,76,79,81,none
348,male,57,3.2,51,52,52,secondary
349,male,76,2.2,44,56,60,graduate
350,male,76,2.9,57,52,47,primary
351,female,83,0.7,48,52,46,none
352,female,70,1.7,79,84,89,secondary
353,male,79,2.0,86,100,100,graduate
354,female,82,2.9,91,89,88,postgraduate
355,female,77,2.5,88,74,67,secondary
356,male,96,2.2,37,58,65,graduate
357,male,82,2.0,79,70,69,primary
358,male,54,2.3,86,89,87,graduate
359,female,97,2.5,78,84,82,postgraduate
360,female,68,3.2,83,83,77,postgraduate
361,male,53,2.9,53,57,56,none
362,female,84,2.9,77,71,65,postgraduate
363,female,98,4.0,57,58,60,none
364,male,66,3.0,90,91,90,primary
365,female,93,2.6,69,78,84,none
366,female,77,3.2,54,71,79,primary
367,male,79,2.3,85,88,89,secondary
368,female,78,2.5,44,51,54,postgraduate
369,male,95,3.8,73,79,81,secondary
370,male,55,2.7,49,57,63,primary
371,female,84,3.2,54,64,64,postgraduate
372,female,90,3.7,49,45,41,primary
373,male,86,4.3,89,81,79,postgraduate
374,male,73,0.7,61,58,50,graduate
375,female,78,0.8,47,48,49,secondary
376,male,98,1.4,31,35,38,none
377,male,95,0.8,54,51,49,none
378,male,80,6.0,39,39,37,secondary
379,female,84,3.6,60,47,41,primary
380,male,82,2.0,58,48,40,graduate
381,male,70,2.6,39,36,35,secondary
382,male,81,1.7,93,100,100,primary
383,male,72,1.3,85,88,89,postgraduate
384,male,82,0.5,89,85,84,graduate
385,female,52,0.7,63,62,57,primary
386,female,67,3.3,90,82,75,primary
387,male,74,1.9,75,68,68,postgraduate
388,male,91,1.6,86,96,95,graduate
389,female,80,4.3,49,53,51,none
390,female,52,2.9,82,71,69,graduate
391,male,89,3.7,43,47,47,graduate
392,female,95,1.8,39,40,37,secondary
393,female,73,3.6,65,72,80,primary
394,female,99,3.1,46,58,64,graduate
395,female,81,1.1,55,61,64,none
396,female,96,2.5,79,76,71,graduate
397,male,71,0.5,84,91,94,postgraduate
398,male,72,2.2,37,42,45,secondary
399,male,51,1.7,77,65,56,postgraduate
400,female,76,2.9,73,67,63,secondary
401,female,91,2.1,39,45,49,secondary
402,female,51,3.7,49,43,42,secondary
403,male,75,2.2,41,44,48,postgraduate
404,male,66,2.7,75,78,79,postgraduate
405,female,89,2.9,33,29,27,none
406,male,82,2.1,74,69,63,primary
407,female,58,3.7,57,50,51,postgraduate
408,female,92,3.4,89,89,88,graduate
409,male,97,2.9,91,83,83,primary
410,male,88,2.0,77,66,60,graduate
411,female,78,1.3,77,67,66,none
412,male,91,2.5,34,26,25,graduate
413,female,75,2.4,89,88,79,primary
414,male,84,1.6,89,88,88,none
415,female,99,2.2,51,51,51,secondary
416,female,74,1.3,90,87,84,postgraduate
417,female,73,4.1,72,68,66,none
418,female,62,3.5,31,31,31,graduate
419,female,56,1.2,55,57,57,none
420,male,85,2.8,74,78,75,graduate
421,male,94,0.5,78,78,73,primary
422,female,69,2.2,91,100,100,secondary
423,female,50,2.3,30,15,11,secondary
424,female,57,1.7,36,38,37,primary
425,male,95,1.7,60,48,39,postgraduate
426,male,65,2.7,46,35,24,postgraduate
427,male,63,2.0,82,86,85,primary
428,female,61,3.1,74,86,91,graduate
429,female,100,3.8,92,95,96,none
430,female,72,2.8,77,92,95,none
431,female,64,3.9,57,60,59,graduate
432,male,77,1.7,82,75,71,postgraduate
433,male,83,2.5,73,86,90,postgraduate
434,female,51,3.6,46,37,35,primary
435,male,81,2.3,65,59,66,primary
436,male,72,2.8,30,23,16,graduate
437,male,71,1.5,36,28,19,graduate
438,male,100,4.2,31,45,49,postgraduate
439,female,74,1.7,70,76,73,none
440,female,71,2.7,84,91,93,primary
441,female,71,1.8,87,81,75,postgraduate
442,female,98,1.3,63,74,73,graduate
443,male,91,2.9,47,38,37,none
444,male,55,4.2,34,38,40,graduate
445,male,64,1.7,34,36,39,postgraduate
446,male,92,1.4,91,100,100,postgraduate
447,male,86,1.9,39,43,51,graduate
448,male,82,2.1,64,68,72,primary
449,male,57,2.9,75,77,77,graduate
450,female,93,0.6,66,63,61,none
451,female,93,3.6,65,80,82,secondary
452,male,54,3.9,59,55,53,none
453,male,88,2.9,84,85,79,secondary
454,male,53,1.4,39,27,21,primary
455,male,55,3.6,81,70,66,postgraduate
456,male,94,2.0,54,44,36,none
457,female,81,2.7,80,89,94,primary
458,female,79,2.5,34,40,36,graduate
459,male,96,1.3,48,65,68,none
460,male,84,4.4,51,54,53,none
461,female,89,1.2,83,86,88,postgraduate
462,male,65,2.5,93,97,100,postgraduate
463,female,62,2.6,57,48,41,primary
464,male,99,2.6,40,43,42,graduate
465,male,91,2.7,62,65,71,primary
466,female,79,2.5,48,28,21,none
467,male,68,2.9,84,87,84,primary
468,male,66,1.5,71,63,61,postgraduate
469,female,68,1.3,44,50,52,none
470,male,77,3.6,60,55,58,primary
471,female,75,3.0,76,75,76,none
472,male,86,2.3,61,57,62,primary
473,female,75,3.8,61,64,64,none
474,male,72,3.0,72,71,71,postgraduate
475,male,58,3.2,91,97,100,secondary
476,female,61,4.0,35,25,19,secondary
477,female,50,2.6,78,75,71,none
478,male,50,2.1,57,60,64,none
479,male,96,2.1,62,61,59,postgraduate
480,female,83,0.5,58,55,52,primary
481,male,81,1.5,62,64,65,postgraduate
482,male,97,3.3,41,43,43,none
483,female,74,1.7,62,43,35,postgraduate
484,female,89,2.1,93,82,77,primary
485,female,94,3.2,67,71,70,primary
486,male,50,2.6,59,60,59,secondary
487,female,65,2.7,78,79,75,primary
488,male,88,3.9,57,63,63,none
489,female,54,3.2,33,30,25,graduate
490,female,71,0.5,78,77,74,secondary
491,female,78,4.1,64,68,68,none
492,female,52,2.2,48,51,51,none
493,male,61,3.1,74,78,77,none
494,female,75,2.7,66,62,61,none
495,female,65,1.7,71,69,69,secondary
496,male,100,2.9,41,56,64,primary
497,female,86,1.9,68,55,49,postgraduate
498,male,71,2.1,31,20,17,postgraduate
499,female,78,3.2,58,59,59,secondary
500,male,63,1.8,55,55,51,graduate
501,male,77,0.5,71,82,86,graduate
502,male,54,1.6,32,33,37,none
503,female,96,3.8,43,51,56,postgraduate
504,female,98,3.5,65,69,78,postgraduate
505,female,79,3.0,85,82,83,none
506,male,95,2.9,85,91,90,secondary
507,male,54,4.5,33,30,34,none
508,male,61,3.8,80,81,79,secondary
509,male,65,1.7,76,76,70,secondary
510,female,75,3.0,44,56,58,postgraduate
511,male,75,3.1,50,58,60,primary
512,male,97,1.8,66,67,73,secondary
513,female,70,2.9,62,58,58,secondary
514,male,88,1.7,46,28,21,secondary
515,male,85,2.4,87,100,100,none
516,female,82,2.3,75,73,71,postgraduate
517,male,79,3.8,61,64,67,postgraduate
518,male,86,3.5,76,80,77,none
519,male,72,1.6,42,44,46,secondary
520,male,59,4.5,48,40,38,none
521,female,54,3.2,90,85,83,graduate
522,male,85,1.1,66,55,53,graduate
523,male,83,1.5,61,65,63,primary
524,male,80,1.2,39,33,30,graduate
525,female,59,2.0,91,95,100,postgraduate
526,male,68,4.2,89,94,98,none
527,male,81,2.4,54,47,46,secondary
528,female,50,2.8,55,56,62,postgraduate
529,male,54,4.5,58,60,67,postgraduate
530,male,94,1.6,71,80,85,none
531,female,53,2.8,67,71,75,postgraduate
532,male,65,3.6,44,43,43,none
533,female,73,1.6,72,81,84,postgraduate
534,female,65,3.3,56,51,51,postgraduate
535,female,51,2.7,62,61,57,graduate
536,female,98,1.1,51,54,53,graduate
537,female,77,3.4,85,83,81,primary
538,female,81,2.8,51,55,58,secondary
539,female,76,2.6,40,37,34,postgraduate
540,male,69,2.9,47,43,39,primary
541,male,73,4.1,59,55,49,primary
542,female,61,2.5,72,83,88,secondary
543,female,99,1.7,61,66,73,none
544,male,84,1.2,38,35,29,secondary
545,male,82,1.7,72,61,54,postgraduate
546,male,82,1.6,64,65,61,secondary
547,male,100,1.8,81,72,67,secondary
548,male,92,2.3,47,43,35,primary
549,male,86,3.3,44,47,52,primary
550,female,61,1.6,86,79,73,none
551,male,52,1.6,41,48,49,secondary
552,male,50,2.3,34,42,48,postgraduate
553,male,82,2.5,88,72,61,primary
554,female,89,3.3,36,37,33,postgraduate
555,male,59,2.7,33,24,26,postgraduate
556,female,92,2.9,71,70,65,none
557,female,93,2.7,46,48,51,postgraduate
558,female,78,1.1,33,28,28,primary
559,female,62,0.9,32,38,43,primary
560,male,61,0.5,64,56,54,graduate
561,female,80,1.3,68,66,67,secondary
562,male,95,2.2,65,55,53,none
563,male,51,2.8,93,98,97,graduate
564,female,100,0.5,66,75,77,postgraduate
565,female,99,1.7,48,58,60,none
566,male,84,1.9,68,50,46,postgraduate
567,male,72,1.9,44,50,55,none
568,male,66,2.0,82,81,73,secondary
569,female,75,1.1,88,71,61,postgraduate
570,male,57,2.2,50,44,40,graduate
571,male,78,1.6,72,75,78,secondary
572,female,75,3.7,41,48,51,postgraduate
573,male,59,3.6,41,41,36,graduate
574,male,75,1.6,92,93,96,none
575,male,83,1.7,36,25,24,none
576,male,100,4.3,65,65,65,primary
577,female,90,1.1,90,90,87,secondary
578,female,56,2.5,80,78,74,primary
579,male,53,4.0,60,68,68,postgraduate
580,male,99,1.6,70,82,79,primary
581,male,94,0.9,79,89,87,postgraduate
582,male,60,1.9,36,19,8,postgraduate
583,male,78,2.2,65,63,61,secondary
584,male,85,2.6,87,75,74,graduate
585,female,74,2.6,37,30,29,secondary
586,female,70,2.9,59,56,53,graduate
587,female,85,0.5,93,95,95,secondary
588,male,59,2.5,62,64,62,secondary
589,female,86,1.8,76,74,75,none
590,female,58,3.8,48,44,44,none
591,female,73,3.2,64,46,44,primary
592,male,84,3.5,53,50,36,primary
593,male,98,3.5,77,82,82,primary
594,female,84,2.6,93,100,100,postgraduate
595,male,97,2.0,75,73,69,postgraduate
596,male,85,2.3,30,28,29,primary
597,male,67,3.4,80,99,100,graduate
598,female,98,2.2,59,62,63,graduate
599,male,88,2.6,44,47,50,postgraduate
600,male,81,2.4,59,54,55,graduate
601,female,73,2.2,89,82,79,primary
602,male,72,3.7,56,61,63,none
603,female,81,2.0,71,70,73,postgraduate
604,female,86,1.4,51,54,55,primary
605,female,61,3.2,38,41,42,secondary
606,female,98,2.3,68,65,61,postgraduate
607,female,62,1.9,62,64,63,none
608,male,72,2.0,50,46,44,primary
609,male,74,2.1,86,91,93,secondary
610,female,84,1.8,87,71,64,none
611,male,90,4.1,57,60,60,postgraduate
612,female,79,3.6,93,92,87,secondary
613,female,66,1.2,30,16,12,primary
614,male,98,1.9,46,52,53,none
615,female,69,2.1,82,74,66,secondary
616,male,97,0.5,57,52,46,primary
617,male,74,1.8,32,35,34,primary
618,female,71,3.0,93,93,90,none
619,female,62,2.3,91,94,100,primary
620,male,68,3.8,45,43,40,primary
621,female,98,2.9,54,58,55,graduate
622,male,85,3.9,89,85,83,primary
623,female,61,3.2,58,55,53,secondary
624,female,90,2.4,87,94,90,graduate
625,male,68,1.5,54,42,36,none
626,female,61,1.3,56,52,53,secondary
627,male,58,2.8,68,70,76,primary
628,male,56,3.4,40,33,31,secondary
629,male,77,2.6,69,70,77,none
630,male,63,2.9,87,85,81,none
631,female,80,3.2,93,95,96,graduate
632,female,68,2.1,51,36,31,secondary
633,female,96,3.0,51,52,53,graduate
634,male,65,3.0,63,69,70,none
635,male,54,1.4,35,38,40,graduate
636,female,84,2.7,38,31,30,secondary
637,female,61,2.9,63,69,75,primary
638,male,74,2.9,37,36,36,graduate
639,male,70,2.8,40,41,34,secondary
640,female,85,3.3,51,54,59,secondary
641,male,72,4.7,56,62,64,none
642,male,65,2.7,80,68,57,secondary
643,female,88,4.1,51,65,79,none
644,female,94,0.8,50,49,45,secondary
645,male,91,2.6,32,41,40,none
646,male,88,0.9,78,80,81,none
647,female,63,2.0,66,62,65,postgraduate
648,female,80,4.2,73,68,65,none
649,male,54,3.3,79,85,89,postgraduate
650,male,84,2.6,50,49,47,none
651,male,72,3.6,82,78,75,postgraduate
652,male,78,2.8,94,96,99,postgraduate
653,male,92,2.1,46,46,45,none
654,female,60,0.8,94,82,75,postgraduate
655,male,67,2.9,53,42,42,none
656,female,96,1.5,38,23,17,postgraduate
657,female,61,2.5,55,48,52,secondary
658,female,58,2.4,71,54,47,secondary
659,female,59,2.1,61,53,49,none
660,male,93,2.8,30,34,33,graduate
661,female,66,4.3,75,68,67,postgraduate
662,male,87,2.7,79,88,95,secondary
663,female,56,2.4,90,90,92,secondary
664,female,95,2.3,74,73,76,primary
665,female,62,2.5,72,57,51,primary
666,female,89,3.6,89,86,81,none
667,male,91,0.5,52,55,52,none
668,male,58,2.2,47,41,42,postgraduate
669,female,99,0.5,64,66,63,postgraduate
670,female,76,2.0,65,65,64,postgraduate
671,female,51,2.6,54,44,41,none
672,male,54,3.5,47,49,48,primary
673,female,78,3.3,56,54,50,graduate
674,female,86,3.8,82,77,71,postgraduate
675,female,87,2.1,64,65,68,primary
676,female,68,1.6,62,55,49,postgraduate
677,male,57,1.9,56,48,45,graduate
678,female,97,3.1,68,69,70,primary
679,male,94,3.9,56,59,68,secondary
680,male,50,2.9,68,69,72,primary
681,female,71,2.0,39,33,24,primary
682,female,66,1.1,45,50,57,none
683,male,56,2.3,57,61,53,secondary
684,female,74,3.2,89,84,84,primary
685,male,94,1.2,73,66,62,secondary
686,male,53,4.5,65,68,74,none
687,female,85,2.3,30,35,33,secondary
688,male,55,3.5,37,48,58,primary
689,male,80,1.4,79,78,79,postgraduate
690,female,68,2.0,44,47,41,graduate
691,male,93,3.8,55,66,72,secondary
692,male,88,1.3,58,50,44,secondary
693,male,76,3.1,83,78,75,primary
694,male,59,1.6,66,66,66,graduate
695,male,75,1.6,45,43,38,secondary
696,female,68,2.4,62,73,79,primary
697,female,88,1.8,44,41,38,postgraduate
698,female,52,2.8,94,99,96,postgraduate
699,female,94,2.3,54,56,56,none
700,male,62,1.8,92,92,91,graduate
701,male,99,2.3,72,74,66,none
702,male,77,4.0,54,40,36,primary
703,female,69,1.6,85,88,87,primary
704,female,77,1.4,50,61,59,none
